2026-04-15 12:11:06 - database - ERROR - 创建表失败: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'rank INT NOT NULL UNIQUE,\n            title VARCHAR(255) NOT NULL,\n            d' at line 3")
2026-04-15 12:11:06 - database - ERROR - 数据库连接失败: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'rank INT NOT NULL UNIQUE,\n            title VARCHAR(255) NOT NULL,\n            d' at line 3")
2026-04-15 12:11:06 - main - ERROR - 程序运行出错: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'rank INT NOT NULL UNIQUE,\n            title VARCHAR(255) NOT NULL,\n            d' at line 3")
Traceback (most recent call last):
  File "D:\Desktop\爬取豆瓣电影top100\main.py", line 19, in main
    with DatabaseManager() as db:
         ~~~~~~~~~~~~~~~^^
  File "D:\Desktop\爬取豆瓣电影top100\database.py", line 10, in __init__
    self.connect()
    ~~~~~~~~~~~~^^
  File "D:\Desktop\爬取豆瓣电影top100\database.py", line 24, in connect
    self._create_table()
    ~~~~~~~~~~~~~~~~~~^^
  File "D:\Desktop\爬取豆瓣电影top100\database.py", line 64, in _create_table
    cursor.execute(create_table_sql)
    ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\cursors.py", line 153, in execute
    result = self._query(query)
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\cursors.py", line 322, in _query
    conn.query(q)
    ~~~~~~~~~~^^^
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\connections.py", line 575, in query
    self._affected_rows = self._read_query_result(unbuffered=unbuffered)
                          ~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\connections.py", line 826, in _read_query_result
    result.read()
    ~~~~~~~~~~~^^
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\connections.py", line 1203, in read
    first_packet = self.connection._read_packet()
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\connections.py", line 782, in _read_packet
    packet.raise_for_error()
    ~~~~~~~~~~~~~~~~~~~~~~^^
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\protocol.py", line 219, in raise_for_error
    err.raise_mysql_exception(self._data)
    ~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^
  File "C:\Users\19458\AppData\Local\Programs\Python\Python313\Lib\site-packages\pymysql\err.py", line 150, in raise_mysql_exception
    raise errorclass(errno, errval)
pymysql.err.ProgrammingError: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'rank INT NOT NULL UNIQUE,\n            title VARCHAR(255) NOT NULL,\n            d' at line 3")
2026-04-15 12:11:06 - main - INFO - ==================================================
2026-04-15 12:11:06 - main - INFO - 豆瓣电影Top250爬虫结束
2026-04-15 12:11:06 - main - INFO - ==================================================
2026-04-15 12:16:59 - main - INFO - ==================================================
2026-04-15 12:16:59 - main - INFO - 豆瓣电影Top250爬虫启动
2026-04-15 12:16:59 - main - INFO - ==================================================
2026-04-15 12:16:59 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=0
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 肖申克的救赎
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 霸王别姬
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 泰坦尼克号
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 阿甘正传
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 千与千寻
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 美丽人生
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 星际穿越
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 这个杀手不太冷
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 盗梦空间
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 楚门的世界
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 辛德勒的名单
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 忠犬八公的故事
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 海上钢琴师
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 疯狂动物城
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 三傻大闹宝莱坞
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 机器人总动员
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 放牛班的春天
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 无间道
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 控方证人
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 寻梦环游记
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 大话西游之大圣娶亲
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 熔炉
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 触不可及
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 教父
2026-04-15 12:17:02 - spider - DEBUG - 解析电影: 末代皇帝
2026-04-15 12:17:02 - spider - INFO - 第 1 页爬取完成，获取 25 部电影
2026-04-15 12:17:02 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=25
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 哈利·波特与魔法石
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 当幸福来敲门
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 龙猫
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 活着
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 怦然心动
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 蝙蝠侠：黑暗骑士
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 指环王3：王者无敌
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 我不是药神
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 乱世佳人
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 飞屋环游记
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 让子弹飞
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 哈尔的移动城堡
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 十二怒汉
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 海蒂和爷爷
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 素媛
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 猫鼠游戏
2026-04-15 12:17:05 - spider - DEBUG - 解析电影: 天空之城
